epoch,layer_index,layer_name,parameter_scope,mean_norm,rms_norm,maximum_norm,last_norm,optimizer_steps
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",24.703045940595871,39.51951418314821,81.281975524527056,1.4553417960322506,6
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",24.177641174478232,38.689828419092876,79.633953358663533,1.4320246849268841,6
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",5.0547466198984914,8.0553819383816929,16.284748006647735,0.25947070169565412,6
1,4,"DenseLayer( 7202,1024 )","all",28.934724324148462,38.999386529248838,68.904023492091667,1.4755694661772267,6
1,4,"DenseLayer( 7202,1024 )","weights",28.923770360708609,38.98426421460637,68.876301863320748,1.4751430334806079,6
1,4,"DenseLayer( 7202,1024 )","biases",0.79490950966399432,1.0859527169803518,1.9543528421036782,0.035472246731438138,6
1,6,"DenseLayer( 1024,512 )","all",29.714119858407276,40.599506573565641,69.091963350366726,2.2660104924717004,6
1,6,"DenseLayer( 1024,512 )","weights",29.69430773010378,40.574796731346474,69.055884914885667,2.2654060861806093,6
1,6,"DenseLayer( 1024,512 )","biases",1.0476651846033485,1.4162641797754207,2.4774861353061,0.052333705082786577,6
1,8,"DenseLayer( 512,256 )","all",32.386083576065758,44.435100344095133,80.214874873151516,2.706887206664867,6
1,8,"DenseLayer( 512,256 )","weights",32.344699620826574,44.38962759720367,80.145567656746792,2.705661616895588,6
1,8,"DenseLayer( 512,256 )","biases",1.501876040692617,2.0097523159278863,3.3337870197687143,0.081446697071640498,6
1,10,"DenseLayer( 256,128 )","all",34.978726984742146,48.87409776546987,91.603983471696367,2.5051712068971073,6
1,10,"DenseLayer( 256,128 )","weights",34.890344893336732,48.782373921689903,91.448565593995767,2.5019226493764908,6
1,10,"DenseLayer( 256,128 )","biases",2.2248401647615208,2.9928960812456329,5.3338202710134563,0.12753757251583167,6
1,12,"DenseLayer( 128,1 )","all",25.600873534567405,36.252275316914996,66.113534708856989,1.2940918689300083,6
1,12,"DenseLayer( 128,1 )","weights",25.426324753083609,36.064736467972416,65.778422573755165,1.2861469275016315,6
1,12,"DenseLayer( 128,1 )","biases",2.6629689515878758,3.6826959077697965,6.6482024192810059,0.14317767322063446,6
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",3.5179264755663362,4.3116857035755958,7.983665353869756,1.5190425229509412,6
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",3.415476238904473,4.2000023136736271,7.8009136561156618,1.4393982838441868,6
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.83014834073114796,0.9749944469351377,1.6984282770869286,0.48540989586077782,6
2,4,"DenseLayer( 7202,1024 )","all",3.6322043014937755,4.20860944323511,7.3634936362189896,2.6498821523436984,6
2,4,"DenseLayer( 7202,1024 )","weights",3.6303211264782993,4.2064381176669565,7.3598010682502064,2.6484109910812861,6
2,4,"DenseLayer( 7202,1024 )","biases",0.11686261912906434,0.1351732515189715,0.23316682101164388,0.088287278978977063,6
2,6,"DenseLayer( 1024,512 )","all",8.6703828462791481,9.916404288180944,16.212971061137942,6.9307761439832127,6
2,6,"DenseLayer( 1024,512 )","weights",8.6683053241682106,9.9139903558127216,16.208721538124966,6.9292069366271862,6
2,6,"DenseLayer( 1024,512 )","biases",0.1896926295468794,0.21879038257143774,0.37118287786511367,0.14747605705504363,6
2,8,"DenseLayer( 512,256 )","all",13.46069419469959,15.287100833248823,24.20436007923086,11.159912620019478,6
2,8,"DenseLayer( 512,256 )","weights",13.456539380852488,15.282280028055775,24.195719730706646,11.156882554181539,6
2,8,"DenseLayer( 512,256 )","biases",0.33384986043404075,0.38388674111581383,0.64667886787617967,0.26004107112072655,6
2,10,"DenseLayer( 256,128 )","all",17.162434414124455,19.292345884811525,29.737283813606894,15.705553176837267,6
2,10,"DenseLayer( 256,128 )","weights",17.149144988494427,19.277157363855682,29.710801292526227,15.694849655793927,6
2,10,"DenseLayer( 256,128 )","biases",0.67413578292532073,0.76538467998045789,1.2547251360471448,0.57973689936763906,6
2,12,"DenseLayer( 128,1 )","all",12.916285868907785,14.549775931499463,21.91812175343826,11.994337584511062,6
2,12,"DenseLayer( 128,1 )","weights",12.88269492657505,14.511535941497312,21.852013908326512,11.966760251933575,6
2,12,"DenseLayer( 128,1 )","biases",0.92888892690340674,1.0541841753094252,1.7010436058044434,0.81288570165634155,6
3,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.3969201146324104,1.5347635807638402,2.2972592944775703,0.88385111381700809,6
3,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.3572337344991576,1.4909954903244058,2.253204508411689,0.87440349418273555,6
3,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.32346936763887224,0.36391166053223689,0.629555319305515,0.12888491283539935,6
3,4,"DenseLayer( 7202,1024 )","all",1.3799415386140377,1.5559628919356039,2.5538806560329266,0.29199912871357375,6
3,4,"DenseLayer( 7202,1024 )","weights",1.3791146721386616,1.5550249413630302,2.5523759264915675,0.29188756585429448,6
3,4,"DenseLayer( 7202,1024 )","biases",0.047712190987771796,0.054018078635886688,0.087655776338380065,0.0080709397929314176,6
3,6,"DenseLayer( 1024,512 )","all",3.3716431168323453,3.8365234478092769,6.3289867025616324,0.6022375128892048,6
