csv_path,reynolds,angle,mean_last10pct_C_L
naca0012/re1000000/re1000000_alpha+009.25.csv,1000000,+009.25,9.91994692e-01
naca0012/re1000000/re1000000_alpha-009.25.csv,1000000,-009.25,-1.01042480e+00
naca0012/re1000000/re1000000_alpha+009.50.csv,1000000,+009.50,1.01740429e+00
naca0012/re1000000/re1000000_alpha-009.50.csv,1000000,-009.50,-1.04359839e+00
naca0012/re1000000/re1000000_alpha+009.75.csv,1000000,+009.75,1.02357864e+00
naca0012/re1000000/re1000000_alpha-009.75.csv,1000000,-009.75,-1.01724657e+00
naca0012/re1000000/re1000000_alpha+010.00.csv,1000000,+010.00,1.04031110e+00
naca0012/re1000000/re1000000_alpha-010.00.csv,1000000,-010.00,-1.08562036e+00
naca0012/re1000000/re1000000_alpha+010.25.csv,1000000,+010.25,1.08555118e+00
naca0012/re1000000/re1000000_alpha-010.25.csv,1000000,-010.25,-1.06092605e+00
naca0012/re1000000/re1000000_alpha+010.50.csv,1000000,+010.50,1.10438383e+00
naca0012/re1000000/re1000000_alpha-010.50.csv,1000000,-010.50,-1.12135832e+00
naca0012/re1000000/re1000000_alpha+010.75.csv,1000000,+010.75,1.12626143e+00
naca0012/re1000000/re1000000_alpha-010.75.csv,1000000,-010.75,-1.10891269e+00
naca0012/re1000000/re1000000_alpha+011.00.csv,1000000,+011.00,1.13284778e+00
naca0012/re1000000/re1000000_alpha-011.00.csv,1000000,-011.00,-1.17314464e+00
naca0012/re1000000/re1000000_alpha+011.25.csv,1000000,+011.25,1.14887852e+00
naca0012/re1000000/re1000000_alpha-011.25.csv,1000000,-011.25,-1.15700722e+00
naca0012/re1000000/re1000000_alpha+011.50.csv,1000000,+011.50,1.18995058e+00
naca0012/re1000000/re1000000_alpha-011.50.csv,1000000,-011.50,-1.19335351e+00
naca0012/re1000000/re1000000_alpha+011.75.csv,1000000,+011.75,1.20683999e+00
naca0012/re1000000/re1000000_alpha-011.75.csv,1000000,-011.75,-1.19974257e+00
naca0012/re1000000/re1000000_alpha+012.00.csv,1000000,+012.00,1.21050441e+00
naca0012/re1000000/re1000000_alpha-012.00.csv,1000000,-012.00,-1.23734684e+00
naca0012/re1000000/re1000000_alpha+012.25.csv,1000000,+012.25,1.23853270e+00
naca0012/re1000000/re1000000_alpha-012.25.csv,1000000,-012.25,-1.22368294e+00
naca0012/re1000000/re1000000_alpha+012.50.csv,1000000,+012.50,1.28626452e+00
naca0012/re1000000/re1000000_alpha-012.50.csv,1000000,-012.50,-1.24523762e+00
naca0012/re1000000/re1000000_alpha+012.75.csv,1000000,+012.75,1.26509536e+00
naca0012/re1000000/re1000000_alpha-012.75.csv,1000000,-012.75,-1.28678321e+00
naca0012/re1000000/re1000000_alpha+013.00.csv,1000000,+013.00,1.29935114e+00
naca0012/re1000000/re1000000_alpha-013.00.csv,1000000,-013.00,-1.30957766e+00
naca0012/re1000000/re1000000_alpha+013.25.csv,1000000,+013.25,1.32798920e+00
naca0012/re1000000/re1000000_alpha-013.25.csv,1000000,-013.25,-1.30044947e+00
naca0012/re1000000/re1000000_alpha+013.50.csv,1000000,+013.50,1.34161262e+00
naca0012/re1000000/re1000000_alpha-013.50.csv,1000000,-013.50,-1.30829161e+00
naca0012/re1000000/re1000000_alpha+013.75.csv,1000000,+013.75,1.29979292e+00
naca0012/re1000000/re1000000_alpha-013.75.csv,1000000,-013.75,-1.30059507e+00
naca0012/re1000000/re1000000_alpha+014.00.csv,1000000,+014.00,1.36421162e+00
naca0012/re1000000/re1000000_alpha-014.00.csv,1000000,-014.00,-1.34857334e+00
naca0012/re1000000/re1000000_alpha+014.25.csv,1000000,+014.25,1.34343308e+00
naca0012/re1000000/re1000000_alpha-014.25.csv,1000000,-014.25,-1.33850310e+00
naca0012/re1000000/re1000000_alpha+014.50.csv,1000000,+014.50,1.33389801e+00
naca0012/re1000000/re1000000_alpha-014.50.csv,1000000,-014.50,-1.33341091e+00
naca0012/re1000000/re1000000_alpha+014.75.csv,1000000,+014.75,1.36990388e+00
naca0012/re1000000/re1000000_alpha-014.75.csv,1000000,-014.75,-1.38052909e+00
naca0012/re1000000/re1000000_alpha+015.00.csv,1000000,+015.00,1.36276115e+00
naca0012/re1000000/re1000000_alpha-015.00.csv,1000000,-015.00,-1.35548309e+00
naca0012/re1000000/re1000000_alpha+015.25.csv,1000000,+015.25,1.38651182e+00
naca0012/re1000000/re1000000_alpha-015.25.csv,1000000,-015.25,-1.39116246e+00
naca0012/re1000000/re1000000_alpha+015.50.csv,1000000,+015.50,1.39029094e+00
