epoch,train_objective,training_physical_mse,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,0.91608504350895081,0.054992536431656795,0.057127657143892015,1542,6,0.0010000000474974513,0.0010000000474974513
2,0.13533854830089653,0.059371377920430519,0.064445312084542988,1542,6,0.0010000000474974513,0.0010000000474974513
3,0.07177197600530047,0.018733415657825932,0.018892644132536492,1542,6,0.0010000000474974513,0.0010000000474974513
4,0.040564617526206527,0.012557579439988628,0.012375859884076823,1542,6,0.0010000000474974513,0.0010000000474974513
5,0.030588775204437823,0.011765079858550385,0.011991644613798817,1542,6,0.0010000000474974513,0.0010000000474974513
6,0.023923794167139235,0.010134557118393533,0.0096630684153873967,1542,6,0.0010000000474974513,0.0010000000474974513
7,0.020542526771809698,0.0084588870262858815,0.008857030097523852,1542,6,0.0010000000474974513,0.0010000000474974513
8,0.017502394992098377,0.0077597259860882903,0.0075355290274587818,1542,6,0.0010000000474974513,0.0010000000474974513
9,0.016882563857134429,0.0074067697385051222,0.0075403412381108452,1542,6,0.0010000000474974513,0.0010000000474974513
10,0.015441872220880191,0.0074220366211881043,0.0073109212542434047,1542,6,0.0010000000474974513,0.0010000000474974513
11,0.014936492020056955,0.0072686307000842769,0.0072901609187842071,1542,6,0.0010000000474974513,0.0010000000474974513
12,0.01489619432040158,0.0071843115676149287,0.0070405250662375768,1542,6,0.0010000000474974513,0.0010000000474974513
13,0.014697510566551542,0.0070752543834748955,0.0069845471419534852,1542,6,0.0010000000474974513,0.0010000000474974513
14,0.014897491362540174,0.0070566763876614659,0.0068430730679907431,1542,6,0.0010000000474974513,0.0010000000474974513
15,0.014622652422665134,0.0069048235195122076,0.0067005153513071498,1542,6,0.0010000000474974513,0.0010000000474974513
16,0.014680325823911751,0.0071714778598399483,0.006815671149354662,1542,6,0.0010000000474974513,0.0010000000474974513
17,0.014903943562619244,0.0068037665378720283,0.0066835021639953512,1542,6,0.0010000000474974513,0.0010000000474974513
18,0.014358798977037126,0.0068022795217352536,0.0066250364637555148,1542,6,0.0010000000474974513,0.0010000000474974513
19,0.01412980719339634,0.0068633338187742846,0.0065464356668056565,1542,6,0.0010000000474974513,0.0010000000474974513
20,0.014293171050016141,0.0066725104203549882,0.0064266768749377812,1542,6,0.0010000000474974513,0.0010000000474974513
21,0.014299474810367878,0.0067532002914614418,0.0065655965280238459,1542,6,0.0010000000474974513,0.0010000000474974513
22,0.014194080030330276,0.0066565226270646899,0.0064451076828441322,1542,6,0.0010000000474974513,0.0010000000474974513
23,0.013996333766009311,0.0067895663239900374,0.006402757608795359,1542,6,0.0010000000474974513,0.0010000000474974513
24,0.014157586870118602,0.0065100391038537811,0.0063150186181738658,1542,6,0.0010000000474974513,0.0010000000474974513
25,0.013788043193388657,0.0067071311573915294,0.0065506835096146047,1542,6,0.0010000000474974513,0.0010000000474974513
26,0.013990090574428075,0.0064438154978397767,0.0061653604996599982,1542,6,0.0010000000474974513,0.0010000000474974513
27,0.01375125897426192,0.0065306574317889228,0.0061637451761600978,1542,6,0.0010000000474974513,0.0010000000474974513
28,0.013542361517923603,0.0063529335954559491,0.0060035344703363892,1542,6,0.0010000000474974513,0.0010000000474974513
29,0.013382236479075526,0.0064014346032029252,0.0062168119308451597,1542,6,0.0010000000474974513,0.0010000000474974513
30,0.013262913994526658,0.0062685119766315743,0.0059581918402201199,1542,6,0.0010000000474974513,0.0010000000474974513
31,0.013158991184851442,0.0062179234938847545,0.0058969951706354835,1542,6,0.0010000000474974513,0.0010000000474974513
32,0.013094361591125366,0.0061945029352623252,0.005849845957330786,1542,6,0.0010000000474974513,0.0010000000474974513
33,0.013008895492448137,0.0061558412419618937,0.0058941264636899696,1542,6,0.0010000000474974513,0.0010000000474974513
34,0.01299907012240739,0.0061455263650747214,0.0057895144824502308,1542,6,0.0010000000474974513,0.0010000000474974513
35,0.013031462032813579,0.0060996786523099247,0.0057354931257428922,1542,6,0.0010000000474974513,0.0010000000474974513
36,0.012847763471635743,0.0060683544408000768,0.0056651054637236672,1542,6,0.0010000000474974513,0.0010000000474974513
37,0.012841528288420771,0.0062704272235664582,0.0057390825526805172,1542,6,0.0010000000474974513,0.0010000000474974513
38,0.012932748144639574,0.0060517567364346018,0.0057462238598913118,1542,6,0.0010000000474974513,0.0010000000474974513
39,0.013122769625671826,0.0062006978890470537,0.0058791951442475031,1542,6,0.0010000000474974513,0.0010000000474974513
40,0.01283465623710638,0.006132612032583285,0.0058741844361746677,1542,6,0.0010000000474974513,0.0010000000474974513
41,0.012850615390710503,0.0058474168070404399,0.0053557267648309849,1542,6,0.0010000000474974513,0.0010000000474974513
42,0.012565406197880578,0.0058193101127370439,0.005354912640052124,1542,6,0.0010000000474974513,0.0010000000474974513
43,0.012394869908972506,0.0057745189971869816,0.0053754931179238472,1542,6,0.0010000000474974513,0.0010000000474974513
44,0.01227125723142782,0.0059875354329756748,0.0054344089040085086,1542,6,0.0010000000474974513,0.0010000000474974513
45,0.012496277152626484,0.005746419976792907,0.0054217992333311666,1542,6,0.0010000000474974513,0.0010000000474974513
46,0.01248309097943049,0.0061818037607363424,0.0060270099837008905,1542,6,0.0010000000474974513,0.0010000000474974513
47,0.012597409488292636,0.0057098127266214842,0.0051977955770259451,1542,6,0.0010000000474974513,0.0010000000474974513
48,0.012014155891867676,0.0055970800201813305,0.0050942099818318863,1542,6,0.0010000000474974513,0.0010000000474974513
49,0.011973539245316104,0.0061891490802526393,0.0055855034776671917,1542,6,0.0010000000474974513,0.0010000000474974513
50,0.012262546047329752,0.005621069018881081,0.0050366546576952444,1542,6,0.0010000000474974513,0.0010000000474974513
51,0.012294728283700321,0.0058544904524194686,0.0052391980092292402,1542,6,0.0010000000474974513,0.0010000000474974513
52,0.012115811400405999,0.005530141495577701,0.0051804677586596085,1542,6,0.0010000000474974513,0.0010000000474974513
53,0.011781812223281781,0.0054516878699053242,0.0050478809434350048,1542,6,0.0010000000474974513,0.0010000000474974513
54,0.011848328178438198,0.005641136775594283,0.0050864636411211131,1542,6,0.0010000000474974513,0.0010000000474974513
55,0.01173336116892851,0.0054144203539501891,0.0050039447857686851,1542,6,0.0010000000474974513,0.0010000000474974513
56,0.011601476332905971,0.0055031994124874473,0.0050809403131453846,1542,6,0.0010000000474974513,0.0010000000474974513
57,0.011796979299530837,0.005375564086646788,0.0048596694984994774,1542,6,0.0010000000474974513,0.0010000000474974513
58,0.011758560880392925,0.0052949027848261925,0.0048892909413893243,1542,6,0.0010000000474974513,0.0010000000474974513
59,0.01193022602793414,0.0053157451923861636,0.0049146713600636931,1542,6,0.0010000000474974513,0.0010000000474974513
60,0.011709254971420302,0.0058417340730218493,0.0055556536536157941,1542,6,0.0010000000474974513,0.0010000000474974513
61,0.012137696254434035,0.0062229170659476958,0.0058444012582355874,1542,6,0.0010000000474974513,0.0010000000474974513
62,0.01263360764309474,0.0061574112981405043,0.0058703747669361503,1542,6,0.0010000000474974513,0.0010000000474974513
63,0.012210337710207457,0.0054039129370440885,0.0050461296951541217,1542,6,0.0010000000474974513,0.0010000000474974513
64,0.011231039366947582,0.0051775016197207714,0.0047566066203972163,1542,6,0.0010000000474974513,0.0010000000474974513
65,0.011178316186612832,0.0051587460148093123,0.0047086571238231052,1542,6,0.0010000000474974513,0.0010000000474974513
66,0.011056953587730255,0.0051658917533643862,0.0047664793380311479,1542,6,0.0010000000474974513,0.0010000000474974513
67,0.011102139819756177,0.0051250055124162546,0.0045790870502309964,1542,6,0.0010000000474974513,0.0010000000474974513
68,0.011035625604733259,0.0051027439967276924,0.0046122656678658372,1542,6,0.0010000000474974513,0.0010000000474974513
69,0.011097450619916783,0.0052086223859243164,0.0048391047037948309,1542,6,0.0010000000474974513,0.0010000000474974513
70,0.0113952700214022,0.0054170965717849273,0.0050649569606299894,1542,6,0.0010000000474974513,0.0010000000474974513
71,0.011159447678845726,0.005207800504897362,0.0047660899088139679,1542,6,0.0010000000474974513,0.0010000000474974513
72,0.011388378179992697,0.0051751084557283564,0.004892311521068185,1542,6,0.0010000000474974513,0.0010000000474974513
73,0.010890329451509782,0.0051307292765448232,0.0047571470940620097,1542,6,0.0010000000474974513,0.0010000000474974513
74,0.011080038263664814,0.0053187695300502789,0.004976206906228034,1542,6,0.0010000000474974513,0.0010000000474974513
75,0.010823672005250487,0.0049736182330778391,0.0046067316354353157,1542,6,0.0010000000474974513,0.0010000000474974513
76,0.010681858378442563,0.0049583990602361776,0.0044814811986534069,1542,6,0.0010000000474974513,0.0010000000474974513
77,0.010778629231931347,0.0049308446005615495,0.0045310194386117917,1542,6,0.0010000000474974513,0.0010000000474974513
78,0.010729495926641457,0.0049793939556030042,0.0046832299466007107,1542,6,0.0010000000474974513,0.0010000000474974513
79,0.010891610965943242,0.005507825754809975,0.005228693537279277,1542,6,0.0010000000474974513,0.0010000000474974513
80,0.011253390330446814,0.0051505499479658941,0.0047186990836975947,1542,6,0.0010000000474974513,0.0010000000474974513
81,0.010840313226901401,0.0055102207921774535,0.0052844984067143734,1542,6,0.0010000000474974513,0.0010000000474974513
82,0.011236811247134845,0.0057639132836270314,0.0053344582411294231,1542,6,0.0010000000474974513,0.0010000000474974513
83,0.011182073380145209,0.0049899261806132427,0.0046945842305825998,1542,6,0.0010000000474974513,0.0010000000474974513
84,0.010679689995063005,0.004968027820128831,0.0045616607389709646,1542,6,0.0010000000474974513,0.0010000000474974513
85,0.010856808225736602,0.0048503772410615157,0.0045095471848566248,1542,6,0.0010000000474974513,0.0010000000474974513
86,0.01078626915389562,0.0050184233341933485,0.0045091227183393506,1542,6,0.0010000000474974513,0.0010000000474974513
87,0.010492265898242549,0.004783323603197458,0.0042668569586083172,1542,6,0.0010000000474974513,0.0010000000474974513
88,0.01028627869352969,0.0047653325402418926,0.0042528817459497716,1542,6,0.0010000000474974513,0.0010000000474974513
89,0.010426133471627474,0.004832835921454736,0.0042723096138355182,1542,6,0.0010000000474974513,0.0010000000474974513
90,0.010760710143338317,0.004908877140935239,0.004552749039466804,1542,6,0.0010000000474974513,0.0010000000474974513
