epoch,train_objective,training_physical_mse,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,1.2236586872267017,0.019647802325218764,0.019512366731498903,1542,25,0.0010000000474974513,0.0010000000474974513
2,0.035625400927272254,0.009955456319709963,0.01024485389181571,1542,25,0.0010000000474974513,0.0010000000474974513
3,0.018951807633745581,0.0080406508947232745,0.007600291418063055,1542,25,0.0010000000474974513,0.0010000000474974513
4,0.017440948630140955,0.0088988842946751273,0.0086680535226827966,1542,25,0.0010000000474974513,0.0010000000474974513
5,0.016519662421899652,0.011408843142611156,0.012188695502804483,1542,25,0.0010000000474974513,0.0010000000474974513
6,0.019710729071358124,0.0091485895244788791,0.0097295004903816505,1542,25,0.0010000000474974513,0.0010000000474974513
7,0.016417352139527872,0.0072062823426368335,0.0068832540107860059,1542,25,0.0010000000474974513,0.0010000000474974513
8,0.015717679300018241,0.0083586531165805202,0.0078805147096495769,1542,25,0.0010000000474974513,0.0010000000474974513
9,0.01605656447040231,0.006828731405956346,0.0064594871789371141,1542,25,0.0010000000474974513,0.0010000000474974513
10,0.01637150865782418,0.0068861142332831936,0.0063673423049226902,1542,25,0.0010000000474974513,0.0010000000474974513
11,0.014446465979566036,0.0098932961108924699,0.0100970953350927,1542,25,0.0010000000474974513,0.0010000000474974513
12,0.020871467084709047,0.0071393773459520827,0.0067868780947968957,1542,25,0.0010000000474974513,0.0010000000474974513
13,0.015269998007877256,0.0093061844615617371,0.0090043908920326675,1542,25,0.0010000000474974513,0.0010000000474974513
14,0.014205546388092297,0.0066820632383926036,0.0060392520741833038,1542,25,0.0010000000474974513,0.0010000000474974513
15,0.013661018970668596,0.0066694250874193518,0.0060846174367997687,1542,25,0.0010000000474974513,0.0010000000474974513
16,0.014542237938447481,0.0075227283703348845,0.0070702645018380873,1542,25,0.0010000000474974513,0.0010000000474974513
17,0.013132458544551114,0.0056786702031896936,0.0052091349572868581,1542,25,0.0010000000474974513,0.0010000000474974513
18,0.012130591301777889,0.0086200530553565552,0.007633905686161571,1542,25,0.0010000000474974513,0.0010000000474974513
19,0.01398736951703956,0.0052665016956297238,0.0046926168669956273,1542,25,0.0010000000474974513,0.0010000000474974513
20,0.011799334874839851,0.0057066650304188398,0.0050758455691153779,1542,25,0.0010000000474974513,0.0010000000474974513
