epoch,layer_index,layer_name,phase,count,mean,variance,minimum,maximum
1,1,"LeakyReLULayer( 0.050000 )",pre_activation,11102400,-0.0013272016382242081,0.20751793362891219,-1.80411696434021,3.068551778793335
1,1,"LeakyReLULayer( 0.050000 )",post_activation,11102400,0.14246259642585243,0.087644158019494545,-0.090205848217010498,3.068551778793335
1,5,"LeakyReLULayer( 0.050000 )",pre_activation,197376,-0.27014442917414205,2.1270831011301832,-6.3440470695495605,5.278235912322998
1,5,"LeakyReLULayer( 0.050000 )",post_activation,197376,0.42049212632234556,0.63770747080642998,-0.3172023594379425,5.278235912322998
1,7,"LeakyReLULayer( 0.050000 )",pre_activation,98688,-0.0088972270517640537,1.6348181784424127,-5.030789852142334,7.9427528381347656
1,7,"LeakyReLULayer( 0.050000 )",post_activation,98688,0.46168816242181426,0.65398949992719824,-0.25153949856758118,7.9427528381347656
2,1,"LeakyReLULayer( 0.050000 )",pre_activation,11102400,-0.0053222339905616258,0.14702321761448814,-1.5349541902542114,2.5753428936004639
2,1,"LeakyReLULayer( 0.050000 )",post_activation,11102400,0.1158078185659334,0.062160409625746836,-0.076747708022594452,2.5753428936004639
2,5,"LeakyReLULayer( 0.050000 )",pre_activation,197376,-0.92641525800816504,4.4716648581249903,-7.1407709121704102,6.947413444519043
2,5,"LeakyReLULayer( 0.050000 )",post_activation,197376,0.45959316354482166,1.2425188865091299,-0.35703855752944946,6.947413444519043
2,7,"LeakyReLULayer( 0.050000 )",pre_activation,98688,-0.33839640219741601,2.9626565829588332,-5.9086518287658691,7.7494759559631348
2,7,"LeakyReLULayer( 0.050000 )",post_activation,98688,0.49020385183878246,0.99661012509724789,-0.29543259739875793,7.7494759559631348
