epoch,layer_index,layer_name,parameter_scope,mean_norm,rms_norm,maximum_norm,last_norm,optimizer_steps
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",15.183437793958968,19.405295737148432,38.245655798056958,10.355293458812808,6
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",14.833369364856086,19.003521443804825,37.543097902403197,9.9994344885512767,6
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",3.2182101778013146,3.9283171181870458,7.2969848097701844,2.6913588626013034,6
1,4,"DenseLayer( 7202,128 )","all",31.75062858344409,36.412423342016019,64.746090552639956,20.053004618751817,6
1,4,"DenseLayer( 7202,128 )","weights",31.727947146724588,36.386185806336478,64.696605203287334,20.03436198420945,6
1,4,"DenseLayer( 7202,128 )","biases",1.1940005910473275,1.3820477940182399,2.5309122901886245,0.8644848901772908,6
1,6,"DenseLayer( 128,64 )","all",17.838909638043884,20.766554118109458,38.18560764495146,18.91005075264707,6
1,6,"DenseLayer( 128,64 )","weights",17.739860857200735,20.661390165475083,37.994211720786367,18.839411278161492,6
1,6,"DenseLayer( 128,64 )","biases",1.8239056379236385,2.087277262459017,3.8184429981649708,1.6329734106744243,6
1,8,"DenseLayer( 64,1 )","all",15.094695770980803,18.251619384276559,34.984662667241572,16.742473882188545,6
1,8,"DenseLayer( 64,1 )","weights",14.93932012293633,18.09537245474268,34.70319743627477,16.610644362439253,6
1,8,"DenseLayer( 64,1 )","biases",2.0555070141951242,2.3830874664266135,4.4288496971130371,2.0968847274780273,6
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",3.1725213055824413,3.4631136592040135,5.0220081028425101,0.85613842621728575,6
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",3.1150068978357432,3.4019226777704707,4.9483519215426979,0.82958876554291416,6
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.59649555528446341,0.64813448530100692,0.88258870064519357,0.21155492178343357,6
2,4,"DenseLayer( 7202,128 )","all",5.5929869374648575,6.2103388691952031,10.249938656733145,2.0251264389843011,6
2,4,"DenseLayer( 7202,128 )","weights",5.5874422652691473,6.2041246294723491,10.240134178823933,2.0229588084975876,6
2,4,"DenseLayer( 7202,128 )","biases",0.24809252421316336,0.27775250171928684,0.4482125237812426,0.093673651552916917,6
2,6,"DenseLayer( 128,64 )","all",7.2735882258764359,7.966522044496763,10.402062242099351,3.626008479245217,6
2,6,"DenseLayer( 128,64 )","weights",7.2526910703175806,7.9425617667566302,10.359019346669209,3.6180510843725284,6
2,6,"DenseLayer( 128,64 )","biases",0.54634178648006448,0.61740267792477177,0.94531320938724139,0.24009132101969982,6
2,8,"DenseLayer( 64,1 )","all",6.0000257032749671,6.6419309744903563,9.0103418979244321,2.8929881681966152,6
2,8,"DenseLayer( 64,1 )","weights",5.9590025457261193,6.5936679391345896,8.9234217267492042,2.8774430326076055,6
2,8,"DenseLayer( 64,1 )","biases",0.6878920470674833,0.79924350377279796,1.2485214471817017,0.2995031476020813,6
