epoch,layer_index,layer_name,phase,count,mean,variance,minimum,maximum
1,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,-2.1590090553426782e-05,0.27760390487278819,-3.9862527847290039,2.3422026634216309
1,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.16443456781441645,0.10535828498673243,-0.19931264221668243,2.3422026634216309
1,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.0056164830261286958,0.2343805257557845,-1.9266096353530884,1.8233777284622192
1,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.18450162858246341,0.088192539541562545,-0.096330486238002777,1.8233777284622192
1,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,0.0097445208075869968,0.16125032095275044,-1.3615801334381104,1.5747315883636475
1,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.15536826056867753,0.058750736650534915,-0.068079009652137756,1.5747315883636475
2,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,7.0688511231017329e-05,0.27982936406199954,-3.9934835433959961,2.3468971252441406
2,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.16532485194710572,0.10616865965758002,-0.19967417418956757,2.3468971252441406
2,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.040495068309490116,0.27309981218225476,-2.0704259872436523,1.8718225955963135
2,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.22000783136541924,0.10498675057152614,-0.10352130234241486,1.8718225955963135
2,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,0.027458005714974882,0.22748393232313024,-1.4156366586685181,1.9638252258300781
2,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.18970411696288172,0.094005454085084414,-0.070781834423542023,1.9638252258300781
3,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,0.00014926298540683336,0.28167843011858823,-4.0027766227722168,2.3497498035430908
3,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.16609464812290078,0.10683055822345004,-0.20013883709907532,2.3497498035430908
3,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.064498056719540203,0.30076757228207035,-2.181119441986084,1.8826342821121216
3,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.24430076559512745,0.11707116766438398,-0.10905597358942032,1.8826342821121216
3,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,0.053043187655251393,0.27540541122341211,-1.4639921188354492,2.1089286804199219
3,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.21930103701135351,0.12165157397479098,-0.07319960743188858,2.1089286804199219
4,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,0.00015711094899917896,0.28151765172963378,-4.0007495880126953,2.3490715026855469
4,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.16606139610224127,0.10676900214879975,-0.20003747940063477,2.3490715026855469
4,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.068804734755138666,0.3055541419832381,-2.1844842433929443,1.8916550874710083
4,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.24880800019541155,0.11884804407996265,-0.10922421514987946,1.8916550874710083
4,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,0.064410944377256127,0.28467280022988978,-1.4995818138122559,2.1061956882476807
4,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.22987388986446455,0.12677549262451965,-0.074979089200496674,2.1061956882476807
5,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,0.00016845373752716344,0.28167516468531645,-4.0021982192993164,2.349994421005249
5,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.16613647646104701,0.10682524999936346,-0.20010991394519806,2.349994421005249
5,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.071451270442821291,0.30804307999392244,-2.1963279247283936,1.9012666940689087
5,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.25152167143219739,0.12002383791974847,-0.10981639474630356,1.9012666940689087
5,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,0.066266335983738683,0.28910061050847269,-1.5077390670776367,2.1317489147186279
5,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.23281224412550644,0.12900061555906064,-0.075386956334114075,2.1317489147186279
6,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,0.0001771042967965653,0.28177723763403806,-4.0025029182434082,2.3504464626312256
6,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.16618451160735759,0.10686274829571558,-0.20012514293193817,2.3504464626312256
6,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.072675117470942296,0.30934270197835945,-2.1922340393066406,1.9108724594116211
6,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.25288756294321435,0.1206599144421321,-0.10961170494556427,1.9108724594116211
6,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,0.067294126803173218,0.29100508740116282,-1.5189430713653564,2.1173250675201416
6,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.23426796099605018,0.12980692342194899,-0.07594715803861618,2.1173250675201416
7,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,0.00018556186450633462,0.28189463444832979,-4.0037546157836914,2.3508946895599365
7,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.16623537328559168,0.1069067028160353,-0.20018772780895233,2.3508946895599365
7,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.073348658645962572,0.31084295594096117,-2.1952464580535889,1.9283671379089355
7,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.25398591415422983,0.12132310688185731,-0.10976232588291168,1.9283671379089355
7,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,0.067966084489960582,0.2926405872602974,-1.5276844501495361,2.1237409114837646
7,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.23524598898263574,0.13054667592112271,-0.076384223997592926,2.1237409114837646
8,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,0.00019393573064485189,0.28201139239576906,-4.003911018371582,2.3513839244842529
