epoch,layer_index,layer_name,phase,count,mean,variance,minimum,maximum
1,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,9.5762227396746807e-07,0.23744938296904206,-3.6159510612487793,2.1417884826660156
1,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15842524941667058,0.090791704885317584,-0.18079756200313568,2.1417884826660156
1,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.035121921482400995,0.22981792219638014,-1.5243062973022461,1.5021095275878906
1,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.20912797901509306,0.077500115305908765,-0.076215319335460663,1.5021095275878906
1,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.01675477773749888,0.17732868935747495,-1.7858800888061523,1.6746898889541626
1,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.14819555274588989,0.05686652123957827,-0.089294008910655975,1.6746898889541626
2,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,8.7797491673291517e-05,0.23856905958921643,-3.6085340976715088,2.136695384979248
2,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15909773305187053,0.091165264254403799,-0.1804267019033432,2.136695384979248
2,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.056405202769343819,0.24529027078997254,-1.4561837911605835,1.6050481796264648
2,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.22772682361881993,0.084134057919366553,-0.072809189558029175,1.6050481796264648
2,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,0.0065918092969417036,0.22141623205296707,-2.0640170574188232,2.0658149719238281
2,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.17871396363376757,0.075641002862933307,-0.10320085287094116,2.0658149719238281
3,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,9.9661206772849744e-05,0.23801444002815036,-3.5928134918212891,2.1316626071929932
3,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15912380483923574,0.090895759593255757,-0.17964068055152893,2.1316626071929932
3,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.048204567777730641,0.24495159348242876,-1.585162878036499,1.5960246324539185
3,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.22221720967413108,0.07980511661414906,-0.079258143901824951,1.5960246324539185
3,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.0028184739102733438,0.20579695441607179,-2.0137720108032227,2.0420722961425781
3,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.16781572308527029,0.070003670547391206,-0.10068859905004501,2.0420722961425781
4,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,8.871484005223851e-05,0.23694561093935879,-3.5869779586791992,2.1233470439910889
4,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15889745798092386,0.09044589974762246,-0.1793489009141922,2.1233470439910889
4,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.035000510900009135,0.23782034274472419,-1.6466982364654541,1.5146200656890869
4,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.21101092625934079,0.073227740207604905,-0.082334913313388824,1.5146200656890869
4,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.017577698891305268,0.17902927126515181,-1.9237648248672485,1.6798405647277832
4,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.14851838491569566,0.059332983691835463,-0.096188239753246307,1.6798405647277832
5,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,0.00010265555643063864,0.23638545560616045,-3.5794074535369873,2.1198158264160156
5,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15892412350930524,0.090166036010948539,-0.17897038161754608,2.1198158264160156
5,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.027897566717631616,0.23302545707695249,-1.6840794086456299,1.4822638034820557
5,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.20371675696789279,0.069231229446534398,-0.084203973412513733,1.4822638034820557
5,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.022956850738776843,0.16961370896144404,-2.1245715618133545,1.6626127958297729
5,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.14196053088619762,0.056163080503854185,-0.10622858256101608,1.6626127958297729
6,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,0.00010608596598096789,0.23578919889650615,-3.5712568759918213,2.114581823348999
6,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.1588894754173365,0.089887963297224732,-0.17856284976005554,2.114581823348999
6,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.018681476087099028,0.22834580457506443,-1.7091535329818726,1.4068839550018311
6,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.19534440110346202,0.065351042319986716,-0.085457675158977509,1.4068839550018311
6,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.026883827848186673,0.16134383009171543,-1.775902271270752,1.7670128345489502
6,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.13625375669379311,0.054022122337279752,-0.088795118033885956,1.7670128345489502
7,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,9.5860263894695627e-05,0.23512916032071315,-3.5614914894104004,2.1094613075256348
7,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15877956024873704,0.089593971714423806,-0.17807458341121674,2.1094613075256348
7,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.010521378376369572,0.22460293852796112,-1.709627628326416,1.3672081232070923
7,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.18822555525948667,0.06217217929753853,-0.08548138290643692,1.3672081232070923
7,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.028188006682798215,0.15356981205062964,-1.7826262712478638,1.7285443544387817
7,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.1317322658477956,0.051986155456986378,-0.089131318032741547,1.7285443544387817
8,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,8.971091291004867e-05,0.23450038903085724,-3.5550096035003662,2.104708194732666
8,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15867839524847141,0.089314281891925862,-0.17775048315525055,2.104708194732666
8,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,0.0016940441037424127,0.22236464266391881,-1.7224327325820923,1.2958444356918335
8,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.18129876171109371,0.059354473178299769,-0.086121641099452972,1.2958444356918335
8,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.026096652691027858,0.14807399273072241,-1.8601783514022827,1.7928299903869629
8,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.13034919460724037,0.051048123956416495,-0.093008920550346375,1.7928299903869629
9,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,7.887253246688795e-05,0.23393102570975202,-3.5494678020477295,2.1020984649658203
9,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15855346657860181,0.089068486429294852,-0.17747339606285095,2.1020984649658203
9,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,-0.0074822036335048872,0.22093754033562044,-1.7681679725646973,1.2121076583862305
9,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.17429774071831738,0.056817179842354487,-0.088408403098583221,1.2121076583862305
9,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.025476006518506712,0.14345210423358759,-1.8373885154724121,1.5976636409759521
9,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.12830368853386848,0.049464972625188119,-0.091869428753852844,1.5976636409759521
10,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,8.1812081260545475e-05,0.23358396245007654,-3.5466668605804443,2.0995595455169678
10,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15856045224870174,0.088895285854999104,-0.17733334004878998,2.0995595455169678
10,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,-0.013271354119393125,0.22063600194850921,-1.7982414960861206,1.157619833946228
10,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.16972877957574306,0.054949565207427033,-0.089912079274654388,1.157619833946228
10,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.022932009124328662,0.13848024765697264,-1.6515046358108521,1.6247692108154297
10,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.12737107007170662,0.047994638073011887,-0.082575231790542603,1.6247692108154297
11,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,8.0043907686656773e-05,0.23307427258290417,-3.5402226448059082,2.0959439277648926
11,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15851625915846587,0.088659798828355035,-0.17701113224029541,2.0959439277648926
11,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,-0.020726610712119672,0.21885063125502932,-1.821181058883667,1.1423826217651367
11,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.16369562266256646,0.052807336483624297,-0.09105905145406723,1.1423826217651367
11,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.023648932372292202,0.13347659320921346,-1.773053765296936,1.8545207977294922
11,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.12372566275222448,0.046578400663898144,-0.08865269273519516,1.8545207977294922
12,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,7.441376896428963e-05,0.23262516476487877,-3.5328223705291748,2.0914785861968994
12,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15844213492204093,0.08845840864900377,-0.17664112150669098,2.0914785861968994
12,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,-0.028034084325937108,0.2172660442463184,-1.8456437587738037,1.1220582723617554
12,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.15766980031289066,0.050921021667917309,-0.092282190918922424,1.1220582723617554
12,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.023824266020918427,0.12843711751673745,-1.7283573150634766,1.7090840339660645
12,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.1211645941730405,0.044640517827083802,-0.086417868733406067,1.7090840339660645
13,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,6.8816824544574572e-05,0.23227619849182785,-3.5277061462402344,2.0890638828277588
13,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15839077458572862,0.08829805759356274,-0.1763853132724762,2.0890638828277588
13,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,-0.032707799893438798,0.21530672122504935,-1.8510687351226807,1.1138482093811035
13,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.15345254899340979,0.049440312400431334,-0.092553436756134033,1.1138482093811035
13,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.025821199264043488,0.12560490523706075,-1.5115877389907837,1.8554044961929321
13,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.11880083689136221,0.043673435336339515,-0.075579389929771423,1.8554044961929321
14,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,6.5070856102614403e-05,0.23200147663403162,-3.5278077125549316,2.0878372192382812
14,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15834167099105914,0.088170824070440121,-0.1763903945684433,2.0878372192382812
14,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,-0.036614556223914456,0.21340770783833266,-1.8569133281707764,1.1205680370330811
14,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.15013179872868559,0.04851413313121692,-0.092845670878887177,1.1205680370330811
14,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.025532651564813321,0.12282648692694546,-1.5282293558120728,1.6409255266189575
14,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.11742440375466438,0.042806674374903757,-0.076411470770835876,1.6409255266189575
15,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,7.2302638026917025e-05,0.23182241790403654,-3.5243573188781738,2.0856611728668213
15,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15838967289855507,0.088067473863737242,-0.17621786892414093,2.0856611728668213
15,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,-0.041941677007790584,0.21320806537152381,-1.8605462312698364,1.1546475887298584
15,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.14686074318895734,0.047663238767013352,-0.093027316033840179,1.1546475887298584
15,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.023488030027862514,0.12066534813147436,-1.5682648420333862,1.6480168104171753
15,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.11725732629056333,0.042632515378652744,-0.078413240611553192,1.6480168104171753
16,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,7.4478441405016665e-05,0.23160998085900547,-3.5191013813018799,2.08272385597229
16,1,"LeakyReLULayer( 0.050000 )",post_activation,9864000,0.15840314231890948,0.087958712763981053,-0.17595507204532623,2.08272385597229
16,5,"LeakyReLULayer( 0.050000 )",pre_activation,175360,-0.047717341521242698,0.21483945744550179,-1.8636940717697144,1.168448805809021
16,5,"LeakyReLULayer( 0.050000 )",post_activation,175360,0.14396807520328397,0.047122542424494172,-0.093184702098369598,1.168448805809021
16,8,"LeakyReLULayer( 0.050000 )",pre_activation,87680,-0.025534413610582975,0.11828877587017321,-1.6512737274169922,1.8835123777389526
16,8,"LeakyReLULayer( 0.050000 )",post_activation,87680,0.11550169585598079,0.041343772224553099,-0.082563690841197968,1.8835123777389526
17,1,"LeakyReLULayer( 0.050000 )",pre_activation,9864000,8.7163921284958402e-05,0.23167544120852573,-3.5169048309326172,2.0814745426177979
