epoch,layer_index,layer_name,parameter_scope,mean_norm,rms_norm,maximum_norm,last_norm,optimizer_steps
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",3.0438907529594732,4.5519959193759529,16.275137771173132,0.84276664070519414,25
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",2.9719545019619393,4.4701327086575517,16.105209706136602,0.8203649452162991,25
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.62382849047966149,0.85940701475216164,2.3457045406507819,0.19302063968854813,25
1,4,"DenseLayer( 7202,128 )","all",6.9340743599791619,10.958131675199041,27.606954048307902,1.3456836926255011,25
1,4,"DenseLayer( 7202,128 )","weights",6.9301708013749872,10.952924460740402,27.592782848876247,1.3443009136612778,25
1,4,"DenseLayer( 7202,128 )","biases",0.22916991632003678,0.33778035513499777,0.8844469911446462,0.060988967261773552,25
1,6,"DenseLayer( 128,64 )","all",5.4084157225733236,7.0646338155383708,17.496149819709384,2.3116147335139243,25
1,6,"DenseLayer( 128,64 )","weights",5.3928073034261264,7.0427372809342188,17.437568374621861,2.3070758727663545,25
1,6,"DenseLayer( 128,64 )","biases",0.40424507401576365,0.55579001375297221,1.4905479965207498,0.14478809860625813,25
1,8,"DenseLayer( 64,1 )","all",4.1134574200713674,5.264457162668192,12.918570841308419,1.9043105520722372,25
1,8,"DenseLayer( 64,1 )","weights",4.0741569393909041,5.2114658779060479,12.779562744192901,1.8891396631362087,25
1,8,"DenseLayer( 64,1 )","biases",0.55784454427659513,0.7450722253509201,1.9292248487472534,0.23989583551883698,25
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",0.59014460184582307,0.67207532338317744,1.322007596133826,0.80104130079773428,25
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",0.58233189197098667,0.66355930656108508,1.3071739204101644,0.79092272751214776,25
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.095189143693659856,0.10665030228168364,0.19748525523455684,0.12691889019555344,25
