epoch,train_objective,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
90,0.015541845751861722,0.0059119033838383192,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
91,0.015627860364533473,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
92,0.015473575663489857,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
93,0.015449525848588478,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
94,0.01553958076444101,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
95,0.015544568746209223,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
96,0.015267285133710295,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
97,0.015300731819903097,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
98,0.015359755820296467,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
99,0.015398527115662447,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
100,0.015379873389738483,0.0057613859249492951,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
