epoch,train_objective,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
65,0.12398602080583725,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
66,0.11458044578093712,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
67,0.13219076208498554,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
68,0.12188395054910378,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
69,0.11314504852039405,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
70,0.1197257142151392,0.012493146157624202,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
71,0.10787286981957252,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
72,0.12003563273500074,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
73,0.11917475338466937,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
74,0.11219234544469484,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
75,0.1081707926008872,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
76,0.11885649541165866,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
77,0.11733398685808533,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
78,0.10567206222554472,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
79,0.11279062614222564,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
80,0.11954677995845586,0.011222311926066837,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
81,0.12612933145746327,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
82,0.11375829656448767,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
83,0.11707627957545487,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
84,0.11657969776360935,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
85,0.11313759575680817,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
86,0.11237872348642174,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
87,0.11412841385211911,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
88,0.10520328635017097,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
89,0.11388520233572225,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
90,0.11127868866358842,0.0098719307061188449,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
91,0.11151314706064049,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
92,0.10587822802515631,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
93,0.11100967397351767,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
94,0.11116986873579056,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
95,0.10571280630878316,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
96,0.11133451663855365,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
97,0.11339293336760685,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
98,0.11403412696681944,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
99,0.10925841636836686,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
100,0.10967209741812339,0.009387119210846083,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
