epoch,train_objective,training_physical_mse,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,1.6739756257144007,0.21683493854016569,0.21875129106361962,1542,6,0.0010000000474974513,0.0010000000474974513
2,0.21919118921996014,0.018109834248208515,0.020991915398500642,1542,6,0.0010000000474974513,0.0010000000474974513
3,0.066240627324509388,0.023182829988887231,0.023195781429129387,1542,6,0.0010000000474974513,0.0010000000474974513
4,0.045893582283305104,0.021385418168110858,0.024126886675741567,1542,6,0.0010000000474974513,0.0010000000474974513
5,0.035876191214382909,0.016126980072013603,0.016669203373412902,1542,6,0.0010000000474974513,0.0010000000474974513
6,0.026400798511807353,0.012882182726711421,0.015549799974405953,1542,6,0.0010000000474974513,0.0010000000474974513
7,0.022842125466981861,0.011198902259104863,0.012662051458530228,1542,6,0.0010000000474974513,0.0010000000474974513
8,0.021136802839370139,0.010016075632974008,0.012502169419333273,1542,6,0.0010000000474974513,0.0010000000474974513
9,0.01920055206255062,0.0091380244404821627,0.010918472554161601,1542,6,0.0010000000474974513,0.0010000000474974513
10,0.017531077423852889,0.0085338167197311996,0.010396434093761014,1542,6,0.0010000000474974513,0.0010000000474974513
11,0.016800156341284036,0.0080054878642359488,0.0095464746709747923,1542,6,0.0010000000474974513,0.0010000000474974513
12,0.015794731429177089,0.0076268024520276083,0.009071615757484483,1542,6,0.0010000000474974513,0.0010000000474974513
13,0.015228739266882344,0.0072652697084335995,0.0085706780749296215,1542,6,0.0010000000474974513,0.0010000000474974513
14,0.014696330142819869,0.0070452521009929051,0.0082041564826327313,1542,6,0.0010000000474974513,0.0010000000474974513
15,0.014306490998289362,0.0068714502266312687,0.0079966870333818309,1542,6,0.0010000000474974513,0.0010000000474974513
16,0.014119616029503236,0.006811235183633634,0.0077226840353884722,1542,6,0.0010000000474974513,0.0010000000474974513
17,0.013902667453334377,0.0066362048906201893,0.0075968731880121272,1542,6,0.0010000000474974513,0.0010000000474974513
18,0.013835710605175201,0.0066600362415992912,0.0076446599597301962,1542,6,0.0010000000474974513,0.0010000000474974513
19,0.013633017661276451,0.0065036576353404586,0.0073354796068885834,1542,6,0.0010000000474974513,0.0010000000474974513
20,0.013402712355443637,0.0064494560375125973,0.0073789372377789288,1542,6,0.0010000000474974513,0.0010000000474974513
21,0.013331433334605269,0.0064431234836013962,0.0072688009043022301,1542,6,0.0010000000474974513,0.0010000000474974513
22,0.013341737127453379,0.0063655459231137749,0.0073413856404803543,1542,6,0.0010000000474974513,0.0010000000474974513
23,0.013228385294298369,0.006297932312913701,0.0071320207763585124,1542,6,0.0010000000474974513,0.0010000000474974513
24,0.013176075890217877,0.0062746390811513316,0.0071388281840876651,1542,6,0.0010000000474974513,0.0010000000474974513
25,0.013030267687221197,0.006382032964806961,0.007471022242578073,1542,6,0.0010000000474974513,0.0010000000474974513
26,0.013040962869777972,0.0065784981450046041,0.0071932195566835602,1542,6,0.0010000000474974513,0.0010000000474974513
27,0.012967757759289635,0.0061415215239819503,0.0071619683724306578,1542,6,0.0010000000474974513,0.0010000000474974513
28,0.012629530625398955,0.0061302473463492385,0.0069463906578069627,1542,6,0.0010000000474974513,0.0010000000474974513
29,0.012729689013665897,0.0060124262177643434,0.0069289942391060856,1542,6,0.0010000000474974513,0.0010000000474974513
30,0.012435011485885664,0.0058959769526703088,0.0067713760673163773,1542,6,0.0010000000474974513,0.0010000000474974513
31,0.012295768931322342,0.0058679327885659558,0.0067900487867508042,1542,6,0.0010000000474974513,0.0010000000474974513
32,0.012211644416931658,0.0058074029679940145,0.0066166173455500105,1542,6,0.0010000000474974513,0.0010000000474974513
33,0.012210396285535437,0.0058481113437889171,0.0065962043413306057,1542,6,0.0010000000474974513,0.0010000000474974513
34,0.012045323712302519,0.005868784814460965,0.0068628913429021948,1542,6,0.0010000000474974513,0.0010000000474974513
35,0.012328728198933858,0.0058394573612689602,0.006714925448654362,1542,6,0.0010000000474974513,0.0010000000474974513
36,0.012336252993241498,0.0058015102713044045,0.0064965332709766834,1542,6,0.0010000000474974513,0.0010000000474974513
37,0.012030058180210912,0.0057037587594449277,0.0064328664685538231,1542,6,0.0010000000474974513,0.0010000000474974513
38,0.011749895746594997,0.0056206860874023655,0.0064047480156755468,1542,6,0.0010000000474974513,0.0010000000474974513
39,0.011668305255046257,0.0055421053721135677,0.0063124383256034731,1542,6,0.0010000000474974513,0.0010000000474974513
40,0.011567443479912478,0.005489878694576452,0.0061872726307297876,1542,6,0.0010000000474974513,0.0010000000474974513
41,0.011520814679838757,0.0054168531700949721,0.0061479646027750579,1542,6,0.0010000000474974513,0.0010000000474974513
