epoch,train_objective,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,0.95780672132753275,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
2,0.2681861729354319,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
3,0.1475914082623318,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
4,0.11741223275562898,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
5,0.10141333227987354,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
6,0.095508284001767529,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
7,0.084459158603822554,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
8,0.077817101784704343,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
9,0.080075265897011361,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
10,0.077404251326568918,0.0066333551892505706,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
11,0.074565902751804386,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
12,0.068021560507659951,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
13,0.066813608825658816,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
14,0.070353469334077087,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
15,0.064098519573572779,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
16,0.063962776092944124,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
17,0.060199064985924589,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
18,0.061948445406368506,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
19,0.059937185192494281,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
20,0.059330382827297697,0.0060971412813133471,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
21,0.057882170985923589,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
22,0.055509719473815305,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
23,0.056548001928030632,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
24,0.05320214721154129,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
25,0.05616282773183754,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
26,0.057616256971258918,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
27,0.048776217128309915,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
28,0.054661117344561465,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
29,0.048474149359899986,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
30,0.056248251865774007,0.0054845209825721518,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
31,0.052008012006662663,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
32,0.05239366620411947,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
33,0.049947500247236369,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
34,0.046243360348174986,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
35,0.048895575022698812,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
36,0.050548421465502848,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
37,0.045707608154362207,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
38,0.049054156366217773,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
39,0.04748065091090032,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
40,0.046547630238839607,0.0054715064687237925,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
41,0.045868139712218141,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
42,0.048812109864075554,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
43,0.046867133930676451,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
44,0.048776701675986286,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
45,0.04705451174569486,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
46,0.047419776276423575,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
47,0.047335954680427041,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
48,0.044223902599018414,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
49,0.045604321631083751,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
50,0.044908072448498738,0.0057008829179597317,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
51,0.044329081999847961,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
52,0.044480791729840652,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
53,0.042809674048194676,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
54,0.047834370441626022,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
55,0.0453366221363799,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
56,0.043223299051509206,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
57,0.044870079414626708,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
58,0.044362810753286096,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
59,0.043832267824850168,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
60,0.044429991577699252,0.0060571805442820514,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
61,0.04476876557183479,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
62,0.044127624650017606,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
63,0.043873677705924444,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
64,0.04392876512295376,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
65,0.045599100914576439,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
66,0.046553055473614352,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
67,0.040667574808900549,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
68,0.041750375423444445,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
69,0.04243849692016459,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
70,0.045415513265374914,0.0059253463939320343,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
71,0.040635240396712465,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
72,0.040885369202171375,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
73,0.044773084880532631,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
74,0.043185162593025961,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
75,0.04216241973811713,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
76,0.040882598006038634,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
77,0.04125665874427769,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
78,0.039447957274068933,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
79,0.039757913173419375,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
80,0.039277426231664504,0.0051745050450256293,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
81,0.040190663164223199,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
82,0.042257477601872838,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
83,0.04026165388318044,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
84,0.041152092916108413,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
85,0.039105107190332167,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
86,0.042143464691250375,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
87,0.040895886839381043,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
88,0.040426252106158744,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
89,0.040710745448737116,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
90,0.039987723996784595,0.0056973935232861594,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
91,0.040084020915759022,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
92,0.039429092093924888,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
93,0.040996472444640213,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
94,0.043699395329879265,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
95,0.041094040715077849,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
96,0.038487267038185002,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
97,0.038324337250240363,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
98,0.038034878900680601,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
99,0.041503582051003449,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
100,0.03974822270194809,0.006152677322377861,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
