epoch,train_objective,training_physical_mse,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,2.4268165630482899,0.21160089166595777,0.21133804887707469,1542,6,0.0010000000474974513,0.0010000000474974513
2,0.23472697254639946,0.039000780920796438,0.038386097025365856,1542,6,0.0010000000474974513,0.0010000000474974513
3,0.079751586969748586,0.0089447013763895074,0.0087935902383886495,1542,6,0.0010000000474974513,0.0010000000474974513
4,0.042459556350790101,0.0088195288534582399,0.0092931006362284557,1542,6,0.0010000000474974513,0.0010000000474974513
5,0.02773902712141595,0.0084312731446109443,0.0084271196703826837,1542,6,0.0010000000474974513,0.0010000000474974513
6,0.021774111867184122,0.0080707695145993737,0.0079878820242013544,1542,6,0.0010000000474974513,0.0010000000474974513
7,0.019447265586655119,0.0081094451526547724,0.0079485902577885077,1542,6,0.0010000000474974513,0.0010000000474974513
8,0.017331818721227556,0.0078522326304508883,0.0076389243242151123,1542,6,0.0010000000474974513,0.0010000000474974513
9,0.016744785769741401,0.0081429118252040432,0.0079088331682182714,1542,6,0.0010000000474974513,0.0010000000474974513
10,0.017577719063547607,0.0081163283045513589,0.0078178837522064407,1542,6,0.0010000000474974513,0.0010000000474974513
11,0.01704312692963773,0.0076768922366854319,0.0074695310158326908,1542,6,0.0010000000474974513,0.0010000000474974513
12,0.016118735985709027,0.0075965889097806237,0.0074955235442374897,1542,6,0.0010000000474974513,0.0010000000474974513
13,0.01550958790747967,0.0073277701292271229,0.0072979996944518965,1542,6,0.0010000000474974513,0.0010000000474974513
14,0.015424825883912582,0.0076447305982300096,0.0077450096513003745,1542,6,0.0010000000474974513,0.0010000000474974513
15,0.016221872172496571,0.0079423891696456857,0.0080558410861812542,1542,6,0.0010000000474974513,0.0010000000474974513
16,0.016320070908187458,0.0084432243028389597,0.0083819533165881942,1542,6,0.0010000000474974513,0.0010000000474974513
17,0.016489081575152321,0.0070121852767786033,0.0068004732488456104,1542,6,0.0010000000474974513,0.0010000000474974513
18,0.015533238507359713,0.0079691921395972018,0.0079786448806867388,1542,6,0.0010000000474974513,0.0010000000474974513
19,0.015857596946161498,0.0072166134272119205,0.0068502919932239151,1542,6,0.0010000000474974513,0.0010000000474974513
20,0.015736248385328461,0.0069874145245762669,0.0068021193091072213,1542,6,0.0010000000474974513,0.0010000000474974513
21,0.015071957511570663,0.0074389912938297789,0.0073648201040567886,1542,6,0.0010000000474974513,0.0010000000474974513
22,0.014986949789578798,0.0068693275431073817,0.0067700733421078071,1542,6,0.0010000000474974513,0.0010000000474974513
23,0.014505767694405062,0.0068533174426063243,0.0066084698421611009,1542,6,0.0010000000474974513,0.0010000000474974513
24,0.014429844384825754,0.0066710383490894169,0.0063630795728024476,1542,6,0.0010000000474974513,0.0010000000474974513
25,0.014108164288494953,0.0069557516759756145,0.0068720164280745601,1542,6,0.0010000000474974513,0.0010000000474974513
26,0.014442341072103142,0.006604147596856934,0.0062449278133956728,1542,6,0.0010000000474974513,0.0010000000474974513
27,0.013961906156360128,0.0065639280217442116,0.0061675742105087297,1542,6,0.0010000000474974513,0.0010000000474974513
28,0.014194151286095268,0.0064827744924069539,0.0062779516056305947,1542,6,0.0010000000474974513,0.0010000000474974513
29,0.013934241321654181,0.0064057488105865017,0.0061229498676670787,1542,6,0.0010000000474974513,0.0010000000474974513
30,0.013757330085614142,0.0073044209569452833,0.0067325329646071262,1542,6,0.0010000000474974513,0.0010000000474974513
31,0.014390635915975124,0.0062734784589029173,0.0059325597606812415,1542,6,0.0010000000474974513,0.0010000000474974513
32,0.013642235024950416,0.0063463171653446292,0.0061264978564570796,1542,6,0.0010000000474974513,0.0010000000474974513
