epoch,layer_index,layer_name,parameter_scope,mean_norm,rms_norm,maximum_norm,last_norm,optimizer_steps
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",7.1746549979292471,9.3177081816247025,16.373902943947581,1.882218309411519,6
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",7.0235229005704927,9.157149121931127,16.124732124707773,1.8028306048857194,6
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",1.4080939475449885,1.7222966401383721,2.84564782153948,0.54087667205320322,6
1,4,"DenseLayer( 7202,128 )","all",19.780843386176333,23.182989408105904,43.864512927039456,6.4039544515268316,6
1,4,"DenseLayer( 7202,128 )","weights",19.770822463189916,23.170731040683339,43.838843201148649,6.3996886893881593,6
1,4,"DenseLayer( 7202,128 )","biases",0.62399418492668246,0.7538043092633584,1.5004403058816931,0.23370343631957763,6
1,6,"DenseLayer( 128,64 )","all",11.223394670209334,13.725029159418577,26.946138460451166,6.1201638573529138,6
1,6,"DenseLayer( 128,64 )","weights",11.178490353061648,13.668739574595278,26.82471834286704,6.1016324170366119,6
1,6,"DenseLayer( 128,64 )","biases",0.98929293487516345,1.241766430848855,2.5551641347784519,0.47590701635598015,6
1,8,"DenseLayer( 64,1 )","all",7.938886699468326,9.9626336715897441,20.151435249023702,4.0995633762423012,6
1,8,"DenseLayer( 64,1 )","weights",7.8502878601636397,9.8424666351470211,19.895615596039946,4.0501284673208229,6
1,8,"DenseLayer( 64,1 )","biases",1.1679607617358367,1.5426990018507889,3.2007534503936768,0.63472771644592285,6
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.9341621393993431,2.2221313533409948,3.6622579559297836,1.292361588048798,6
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.8610771409636693,2.167202632456215,3.6099261838254044,1.1397237879269884,6
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.45899249136483672,0.49101985843337531,0.61690054555231788,0.60928495919181247,6
2,4,"DenseLayer( 7202,128 )","all",5.1435614314664475,5.7562330091054843,9.2878754840087154,4.396976719486303,6
2,4,"DenseLayer( 7202,128 )","weights",5.139823847765717,5.7521086998916644,9.2813898800949968,4.3933313376708494,6
2,4,"DenseLayer( 7202,128 )","biases",0.19589197401978919,0.21786224947476743,0.34703443650499405,0.17900846109553797,6
2,6,"DenseLayer( 128,64 )","all",6.2120044786111759,6.8005710299688671,10.255234085018143,6.6156758204224078,6
2,6,"DenseLayer( 128,64 )","weights",6.1971897957704316,6.7843458533360774,10.230744129450727,6.5994572843922645,6
2,6,"DenseLayer( 128,64 )","biases",0.42866116196433174,0.46948660893935812,0.70830833415072114,0.46295800285077632,6
2,8,"DenseLayer( 64,1 )","all",4.2352219080847684,4.6354003072881822,6.9526760832757244,4.4724737738026619,6
2,8,"DenseLayer( 64,1 )","weights",4.1956806823119486,4.5922745362824049,6.888784320312034,4.427151900921948,6
2,8,"DenseLayer( 64,1 )","biases",0.57696634779373801,0.63083325230967435,0.94040167331695557,0.63509660959243774,6
3,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4221479136414157,1.4418334003940647,1.8255913744571177,1.2721790006944771,6
3,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.376382981382231,1.3978150299447114,1.8062114405862355,1.2384044834297545,6
3,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.34309727586889793,0.35354871878225907,0.52035536907095381,0.29119365588742024,6
3,4,"DenseLayer( 7202,128 )","all",2.6426605065038569,2.7359295519741123,3.976565956053046,2.1972155766478432,6
3,4,"DenseLayer( 7202,128 )","weights",2.6403527792715371,2.7335420136574395,3.9732248505339101,2.19505278075551,6
3,4,"DenseLayer( 7202,128 )","biases",0.11024319323550556,0.11427411314422016,0.16297573420562902,0.097465788671804207,6
3,6,"DenseLayer( 128,64 )","all",3.9277356308267906,4.1553424698937684,6.3086177147573519,3.5687210083408982,6
3,6,"DenseLayer( 128,64 )","weights",3.9183721699469301,4.1453621149848647,6.2937681278376001,3.5597020366059273,6
3,6,"DenseLayer( 128,64 )","biases",0.26943951579104086,0.28782629787955871,0.43259706883642102,0.25355679039870549,6
3,8,"DenseLayer( 64,1 )","all",2.5616072792261031,2.7374890823614284,4.1716836166640325,2.3887055748373358,6
3,8,"DenseLayer( 64,1 )","weights",2.5360165709523765,2.7095872853636167,4.1311057680817411,2.3621542035577314,6
3,8,"DenseLayer( 64,1 )","biases",0.35392141217986745,0.38985025207615309,0.58043891191482544,0.35516452789306641,6
4,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4997185841354717,1.5601834261494214,1.963101958141571,0.89567189050208162,6
4,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.4700986696261786,1.5315607229427317,1.9408056901653736,0.88008150208124813,6
4,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.29024881449327256,0.29747953739792643,0.37032145836305613,0.1663871543418752,6
4,4,"DenseLayer( 7202,128 )","all",1.6309592662332983,1.6839264225497403,2.2229294916988116,0.90282727140247654,6
4,4,"DenseLayer( 7202,128 )","weights",1.6293761453839886,1.6822831689735029,2.2206434282139216,0.90185571720641866,6
4,4,"DenseLayer( 7202,128 )","biases",0.071727797937608029,0.074374296296738793,0.10078834156119953,0.041872990460882518,6
4,6,"DenseLayer( 128,64 )","all",2.4203846841047625,2.5092168152487013,3.3430482834792725,1.5514922202476666,6
4,6,"DenseLayer( 128,64 )","weights",2.4143884666315114,2.5027969138377943,3.3332553239142944,1.5476002825802631,6
4,6,"DenseLayer( 128,64 )","biases",0.16887682564839412,0.17937846585040687,0.25569663914631791,0.10982474605718251,6
4,8,"DenseLayer( 64,1 )","all",1.5481524005558471,1.6221677889453796,2.2217078558798757,0.98745464654097714,6
4,8,"DenseLayer( 64,1 )","weights",1.5308728848404158,1.6030637737627944,2.1910208658020638,0.97628672254185289,6
4,8,"DenseLayer( 64,1 )","biases",0.22601628055175146,0.24822343310277903,0.36798554658889771,0.1480908989906311,6
5,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",0.99535861725545827,1.1922450941232559,1.8405188195251494,0.26134094608229663,6
