epoch,train_objective,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,0.3922473676336154,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
2,0.045309332104308028,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
3,0.024036529624668318,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
4,0.019924296620454855,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
5,0.018958496737606606,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
6,0.0184893923624086,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
7,0.018254991186176,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
8,0.018004242792542018,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
9,0.01781004804847626,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
10,0.01767739577743184,0.0052013464375990351,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
11,0.017510505978899232,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
12,0.017353979117308013,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
13,0.017344430037587202,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
14,0.01714177523934228,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
15,0.017001953049778282,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
16,0.016924047687967871,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
17,0.016814460313239944,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
18,0.01692631683915358,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
19,0.016647364638778077,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
20,0.016721225051570934,0.0048095286378569066,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
21,0.016714986590847004,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
22,0.016550077039975592,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
23,0.016463979286584413,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
24,0.016318962356581989,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
25,0.016376547777879114,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
26,0.01616483873005338,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
27,0.016352435674210949,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
28,0.016249142009123353,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
29,0.015948824050378525,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
30,0.015826908534806009,0.0045821521352189011,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
31,0.015799187280127205,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
32,0.015970522415256816,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
33,0.015956718556847518,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
34,0.015751176936055676,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
35,0.015728875545973475,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
36,0.015684918525917021,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
37,0.015703479313065576,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
38,0.015461613942531658,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
39,0.015775682455239762,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
40,0.01568978010928751,0.0042296774618902225,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
41,0.015249372485865343,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
42,0.01545832356621586,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
43,0.015499247799531461,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
44,0.015270371091487073,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
45,0.015364993115046646,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
46,0.015432952512285067,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
47,0.015319292799970748,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
48,0.015377366851189303,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
49,0.0151981505444575,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
50,0.015185813268196869,0.0041662911213735656,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
