epoch,train_objective,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,1.123968129141433,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
2,0.60283378493193751,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
3,0.46299983900461861,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
4,0.33223857521062483,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
5,0.29155289834011755,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
6,0.24929863709408745,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
7,0.23625579569896643,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
8,0.21808174003432268,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
9,0.20542602107068184,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
10,0.21311070083701697,0.026111867959657278,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
11,0.19354544952824068,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
12,0.19468366782400626,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
13,0.19112830608454362,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
14,0.18906450558797522,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
15,0.17604955434212868,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
16,0.18669877219440656,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
17,0.16820763465506536,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
18,0.16381654107314789,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
19,0.17760666844768136,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
20,0.17388294561104134,0.01672535636127959,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
21,0.17124397370583602,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
22,0.15779292877834888,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
23,0.15645010987548225,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
24,0.16063124731180503,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
25,0.15395869253038422,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
26,0.15663274380159189,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
27,0.15365780066269549,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
28,0.16290853741446198,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
29,0.15878642971090373,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
30,0.15331646814197983,0.019306106528981029,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
31,0.1454047130672329,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
32,0.15779015936491073,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
33,0.14068197255892964,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
34,0.15388654567701504,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
35,0.15073141516016347,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
36,0.15526138836769454,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
37,0.14417223798529158,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
38,0.14268740912063224,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
39,0.1407074040007594,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
40,0.14252580576712251,0.0137251583306659,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
41,0.1414336975544086,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
42,0.13014415411196181,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
43,0.13289742282509759,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
44,0.13445306542124702,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
45,0.13850471849899984,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
46,0.13459857828731575,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
47,0.13943288742061569,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
48,0.13819435819266296,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
49,0.13105532507459722,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
50,0.12807833389400858,0.01238598065035358,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
51,0.14074893967268892,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
52,0.13091832464017028,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
53,0.13703940837350029,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
54,0.12803637352534128,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
55,0.12676957165482489,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
56,0.13540176426240644,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
57,0.13578528320794095,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
58,0.15125961775354443,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
59,0.13044153651372142,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
60,0.12110598417930304,0.016905382338031561,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
61,0.13201940023394668,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
62,0.12946401110554562,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
63,0.12425059810277402,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
64,0.13244185784515539,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
65,0.12554948716050518,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
66,0.1305530795304064,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
67,0.12879790464985688,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
68,0.12509450003943223,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
69,0.13219262886704047,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
70,0.12758706450550714,0.012386567203034261,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
71,0.13379886859758539,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
72,0.12556430190822016,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
73,0.1173377290126752,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
74,0.13279759274646097,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
75,0.11808490538867666,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
76,0.12746015822729029,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
77,0.11672014276510662,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
78,0.12281528061245615,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
79,0.12285880336697709,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
80,0.12476457976583175,0.015415822144386519,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
81,0.12502774432238639,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
82,0.12047511686623627,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
83,0.13478777707472825,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
84,0.13293036458500573,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
85,0.12666796920515161,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
86,0.11350447566071729,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
87,0.12639714697151561,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
88,0.12505081054562511,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
89,0.12054789546965519,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
90,0.11948083072618657,0.01819658188224833,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
91,0.11701642975041619,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
92,0.11078372672701553,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
93,0.11858797821817056,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
94,0.11773753846336128,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
95,0.11435361701535103,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
96,0.12096941574862444,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
97,0.11459789074325159,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
98,0.11337491708610506,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
99,0.11974732479950274,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
100,0.12166172539438549,0.012054551467642683,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
