epoch,train_objective,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,0.74627018461233507,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
2,0.1939721868917659,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
3,0.13440681097019916,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
4,0.11270653301195115,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
5,0.095334516663102942,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
6,0.076840643978859063,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
7,0.084729089533446877,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
8,0.072643686583188219,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
9,0.070871548181721936,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
10,0.070638834819622895,0.0093359534978030984,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
11,0.066079400185316273,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
12,0.063261411598911424,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
13,0.059190591410709981,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
14,0.055426436252834277,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
15,0.0595535273587448,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
16,0.057957439274098493,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
17,0.057066919369114268,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
18,0.057161752389129836,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
19,0.052914699935198269,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
20,0.053354874346337337,0.008612700811410608,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
21,0.053365374897724867,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
22,0.053349962927125356,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
23,0.050779709878957059,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
24,0.047855486061130562,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
25,0.049674557537308477,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
26,0.047626436451863687,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
27,0.043766331718147707,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
28,0.051062766929244711,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
29,0.047689641675049813,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
30,0.046323493934183141,0.0085328423475397493,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
31,0.044502807590556158,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
32,0.048653883948832743,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
33,0.049573100862663207,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
34,0.047661076512273887,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
35,0.04553385398016397,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
36,0.045870576825884142,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
37,0.045082484927926117,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
38,0.042850663636510147,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
39,0.04314983208452499,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
40,0.045636866291834451,0.0081564058573934083,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
41,0.045887666831780048,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
42,0.042600260318252162,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
43,0.044709245977280654,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
44,0.044540816216042126,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
45,0.04375044630145325,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
46,0.040537412203630989,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
47,0.042131017360810451,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
48,0.040576373695828602,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
49,0.042550474573670595,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
50,0.038643833798969678,0.0080975320614142792,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
51,0.046322182800592263,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
52,0.043915076773219014,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
53,0.035579790465876289,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
54,0.040298887864032892,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
55,0.039212176783061652,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
56,0.039833855155884626,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
57,0.03973774085881733,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
58,0.040686889476856773,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
59,0.040127923631891854,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
60,0.039401689933517503,0.0087487951266371454,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
61,0.038486928070394728,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
62,0.039628461567463559,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
63,0.039499334695651846,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
64,0.038856870605594007,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
65,0.039761336869435795,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
66,0.041203395355602197,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
67,0.040151915187805816,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
68,0.040573740452915202,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
69,0.039321759766528408,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
70,0.043409578286101889,0.0075413793579891236,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
71,0.03677524447157153,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
72,0.039730676465798892,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
73,0.037784174943725254,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
74,0.038305828856684015,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
75,0.039553626625277956,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
76,0.041655098887156683,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
77,0.040451400407388219,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
78,0.037693764551487166,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
