epoch,layer_index,layer_name,parameter_scope,mean_norm,rms_norm,maximum_norm,last_norm,optimizer_steps
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",2.6175578524807879,2.6690788174186602,3.8399390368965687,2.2052415749895244,22
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",2.5740593821110629,2.6253195308243176,3.7781581984217927,2.1614901634517576,22
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.4720784534877574,0.48133054615864307,0.6860411319887032,0.43709344237082032,22
1,4,"DenseLayer( 7202,128 )","all",14.754958132850458,15.477626644603655,22.582156301146814,8.3434667507787665,22
1,4,"DenseLayer( 7202,128 )","weights",14.74948379855255,15.471696862602871,22.57265705890104,8.3401671360319192,22
1,4,"DenseLayer( 7202,128 )","biases",0.39977336554853143,0.4283955432418472,0.72745140047870793,0.23462643585901993,22
1,7,"DenseLayer( 128,64 )","all",2.5021391678839708,2.6433761648375307,4.1590838922811777,1.3678713935944729,22
1,7,"DenseLayer( 128,64 )","weights",2.446816480434638,2.5811936166929406,4.031718916404551,1.343315011610474,22
1,7,"DenseLayer( 128,64 )","biases",0.51846228361697255,0.56997987857010268,1.0213821038859376,0.25802505497729855,22
1,10,"DenseLayer( 64,1 )","all",1.2733554272301555,1.366565074768328,2.2666424075354135,0.72231803594463861,22
1,10,"DenseLayer( 64,1 )","weights",1.1883862586271186,1.2621027928412256,2.0190812804013696,0.70528885479673653,22
1,10,"DenseLayer( 64,1 )","biases",0.43558128516782413,0.52401969798753167,1.0334811210632324,0.15591977536678314,22
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.0144275742732818,1.1499806311248137,1.9629082940274336,1.5502324872933504,22
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",0.997037976977591,1.1303114773192224,1.9254412401872345,1.5227319963771047,22
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.18662417341545343,0.21178152941808195,0.3816870463454764,0.29070265198158279,22
2,4,"DenseLayer( 7202,128 )","all",3.4996322199162004,3.7872467774683529,6.3696089154734912,4.3144708306631436,22
2,4,"DenseLayer( 7202,128 )","weights",3.4980003463988365,3.7855853392575445,6.3676603822731863,4.3119266917037189,22
2,4,"DenseLayer( 7202,128 )","biases",0.10602016646815285,0.11216859026824848,0.1575404459428936,0.1481443688303406,22
2,7,"DenseLayer( 128,64 )","all",0.59678382718708822,0.64527688175624109,1.0878901571479873,0.60889010192502724,22
2,7,"DenseLayer( 128,64 )","weights",0.58695223701284205,0.63523772696612879,1.0754899629865415,0.59520286875369721,22
2,7,"DenseLayer( 128,64 )","biases",0.10685919904398104,0.1133811464396263,0.16962946073393115,0.12837718352432853,22
2,10,"DenseLayer( 64,1 )","all",0.34095454687404286,0.36162546220090935,0.55985344597426201,0.33477919639749315,22
2,10,"DenseLayer( 64,1 )","weights",0.33171483866671092,0.35257442832535341,0.55784746114134898,0.32305444046074849,22
2,10,"DenseLayer( 64,1 )","biases",0.070820695805278694,0.080400543549602535,0.14879757165908813,0.087823338806629181,22
